LoanID,CustomerID,LoanType,Amount,StartDate,EndDate,InterestRate,Status
43,14,Auto Loan,32985.03,2020-01-02,2028-09-22,13.77,Active
44,20,Mortgage,82265.26,2023-03-26,2029-03-26,9.75,Active
45,15,Mortgage,35841.59,2020-09-02,2027-05-21,2.79,Closed
46,71,Mortgage,23632.55,2021-10-04,2026-05-01,14.97,Active
47,1,Personal Loan,39940.57,2023-05-16,2031-07-08,5.51,Closed
48,98,Mortgage,12265.52,2022-06-03,2028-04-22,3.91,Active
49,81,Auto Loan,2390.52,2022-03-01,2024-01-02,11.99,Active
50,53,Personal Loan,43568.52,2022-06-10,2024-12-21,3.68,Closed
51,97,Mortgage,39103.88,2020-12-09,2028-01-11,10.19,Closed
52,12,Auto Loan,3035.78,2022-05-15,2027-12-18,7.49,Active
53,8,Personal Loan,81038.29,2021-01-21,2023-11-01,7.36,Closed
54,30,Personal Loan,68659.62,2020-08-06,2027-04-24,4.8,Closed
55,84,Personal Loan,60947.39,2022-11-07,2024-07-23,9,Closed
56,31,Auto Loan,34939.04,2022-04-19,2026-06-26,12.32,Closed
57,31,Auto Loan,18357.37,2023-06-29,2025-02-01,5.31,Active
58,93,Personal Loan,12548.76,2023-11-10,2028-04-21,14.92,Closed
59,77,Personal Loan,87866.51,2022-10-11,2029-12-24,3.73,Active
60,10,Personal Loan,55679.16,2021-01-19,2030-10-26,11.58,Active
61,67,Personal Loan,67014.2,2023-11-17,2026-08-04,13.8,Active
62,2,Mortgage,58163.89,2022-09-13,2029-11-24,3.82,Active
63,86,Mortgage,72630.73,2022-11-08,2029-08-23,10.02,Active
64,20,Mortgage,29776.17,2021-12-31,2026-09-17,9.1,Active
65,23,Personal Loan,20203.26,2020-03-12,2025-08-30,5.2,Closed
66,53,Mortgage,5741.48,2020-09-14,2024-09-21,12.74,Active
67,57,Auto Loan,45033.1,2023-07-26,2027-09-01,5.06,Active
68,1,Personal Loan,12959.04,2020-09-26,2022-11-19,8.01,Active
69,89,Auto Loan,12729.77,2023-05-03,2028-11-08,11.1,Closed
70,12,Mortgage,18783.14,2023-07-23,2029-07-24,5.87,Closed
71,77,Mortgage,45323.57,2023-09-05,2027-08-02,10.46,Closed
72,89,Mortgage,24923.43,2022-12-18,2031-08-04,10.85,Closed
73,56,Personal Loan,70023.25,2020-05-22,2023-12-26,7.83,Active
74,85,Mortgage,28125.22,2022-11-16,2032-08-26,6.49,Closed
75,21,Auto Loan,8575.92,2020-09-18,2024-04-04,3.35,Closed
76,63,Auto Loan,67772.12,2022-08-01,2030-03-21,11.45,Closed
77,15,Auto Loan,88040.34,2022-09-16,2031-12-11,9.59,Active
78,74,Personal Loan,52589.53,2021-11-01,2029-10-31,2.48,Active
79,82,Personal Loan,45378.41,2021-04-30,2030-11-09,10.4,Closed
80,92,Personal Loan,83802.31,2023-03-04,2028-03-05,14.74,Active
81,75,Auto Loan,99519.34,2023-12-01,2031-07-20,6.16,Closed
82,22,Personal Loan,39721.13,2021-06-04,2026-05-20,7.55,Closed
83,78,Auto Loan,75933.11,2020-01-29,2024-01-07,14.64,Closed
84,73,Personal Loan,86511.53,2020-05-05,2026-08-01,13.64,Active
85,91,Personal Loan,25386.68,2020-06-22,2028-05-26,2.05,Active
86,53,Mortgage,39532.45,2022-11-28,2030-08-04,2.94,Closed
87,42,Mortgage,88855.32,2022-07-25,2027-04-01,7.22,Closed
88,24,Personal Loan,71016.86,2021-02-06,2030-07-09,13.07,Closed
89,61,Personal Loan,38808.66,2021-09-01,2028-10-16,13.99,Active
90,98,Mortgage,48660.85,2021-10-14,2025-10-27,9.24,Closed
91,18,Mortgage,28480.25,2022-10-22,2024-12-25,6.46,Closed
92,10,Mortgage,89113.17,2023-10-01,2025-11-07,9.77,Active
93,82,Auto Loan,30881.01,2020-03-30,2028-06-07,4.01,Active
94,78,Personal Loan,71600.86,2023-05-22,2024-06-23,14.01,Active
95,33,Personal Loan,80676.68,2021-12-24,2031-02-19,13.53,Active
96,51,Auto Loan,35713.69,2023-09-20,2025-05-24,5.33,Closed
97,78,Auto Loan,79107.31,2022-05-29,2028-09-20,11.72,Active
98,72,Auto Loan,95739.88,2020-08-25,2027-12-23,13.09,Closed
99,49,Mortgage,9498.98,2020-04-14,2030-02-11,4.46,Closed
100,15,Mortgage,22568.25,2022-02-23,2027-02-02,5.63,Closed
